8532,11746,1320,1765
6,145,0,0
13034,16675,3914,4621
132,49,25,24
2004,854,1263,895
420,724,180,155
79,236,20,16
1389,204,1223,570
104,23,19,16
141,20,1,25
296,38,25,83
148,71,49,68
0,22,5,1
1275,1142,791,578
2369,1373,836,601
588,691,461,232
1605,7806,583,912
859,946,321,236
6804,4039,9051,2938
38,7,23,12
192,7439,22,51
510,374,409,206
1884,1321,744,599
8863,9938,2625,2709
1056,799,237,310
660,2899,386,238
316,288,232,182
1192,1925,485,549
561,2325,69,213
32520,17412,1453,5010
3121,14692,194,514
2400,4184,865,684
1890,4256,814,750
241,154,197,95
36,638,45,20
2,53,5,2
1455,9091,856,425
143,239,6,36
662,7997,799,866
13983,3996,5707,5787
25,1,16,17
4611,4415,3273,1900
21,25,31,16
41,33,5,6
2305,2013,1391,867
15170,18861,4026,4220
14812,5436,2942,4152
271,246,300,173
10408,2577,2011,3026
828,704,226,395
802,991,507,349
23,466,6,10
241,231,176,123
408,168,439,215
167,331,146,81
1400,898,701,589
4,32,2,0
899,1564,494,358
93,236,21,27
16,15,0,4
624,670,468,298
1148,1056,793,488
907,3291,521,292
60666,47974,18185,19886
19628,11013,3189,5501
7248,9684,3370,2912
1257,2274,980,713
3405,3352,1639,1223
1206,461,160,540
562,869,124,226
990,3678,49,180
115,299,81,38
43,26,12,19
4,35,2,1
134,244,26,32
455,476,267,189
1058,829,383,378
358,2435,429,205
324,413,301,172
83,282,47,59
289,931,475,186
73,27,5,18
31,12,2,3
92,4,10,8
20494,19906,5491,5557
13233,13029,10000,8146
477,520,209,174
593,592,304,165
1053,1706,544,339
13,11,5,4
1585,753,622,646
890,796,598,368
90,90,36,39
4362,6895,1986,1591
1365,1440,1006,596
6517,9953,1680,1677
168,398,109,68
339,981,151,118
20,51,4,6
2447,4278,727,681
2,44,0,0
1864,7968,575,661
57,24,22,19
2371,2098,1032,822
10574,32831,5887,4300
5,23,13,8
4046,8001,1556,1212
238,516,120,66
2932,3160,575,914
51,86,10,14
522,777,180,181
200,249,102,90
69,67,10,9
3997,4958,2280,1493
1168,593,452,397
1558,2915,574,438
6229,4654,663,1642
10,7,6,8
17,8,1,6
1027,1266,165,337
271,1990,224,96
2,23,1,2
10278,6978,2621,3070
99,106,40,34
46,23,10,7
2788,3953,1583,956
43188,33973,14682,14747
86,75,27,50
15,22,6,6
508,943,62,50
234,185,11,45
1525,1264,572,496
13,11,4,2
1257,694,269,1132
3810,3572,1811,1324
190,331,232,108
72,60,20,18
1387,2132,287,241
4606,2989,929,1209
676,1608,435,275
44,57,17,25
1,26,0,1
2491,2236,539,618
2461,2758,1022,763
11583,11263,1020,4451
909,286,30,145
1843,1359,1039,729
3746,6315,456,811
8303,8048,1869,2219
28,24,7,15
1580,2942,921,585
743,33,105,271
591,1423,227,404
92,513,31,35
7,195,97,5
2715,3541,1415,1010
14451,9806,830,2621
7,7,2,0
181,1388,71,14
375,484,121,125
2,23,1,0
990,3192,598,361
3,29,0,0
1062,1610,585,514
609,588,217,227
505,18997,24,69
483803,348103,31343,168175
2209,249,46,614
159,18,2,49
1,28,0,0
1227,11320,375,315
44,713,9,16
11393,11242,4397,3707
8997,9237,3431,2876
578,1028,224,141
14064,9552,3159,4471
8,15,1,1
10,52,13,7
3035,2665,1187,1132
16,61,5,3
4342,6515,2034,1373
1766,1863,738,505
67,171,10,12
2812,4558,686,735
652,493,279,251
1579,2007,763,536
279,408,234,129
2564,3058,1105,1018
51,371,35,25
7,70,0,0
69,1810,10,24
22,5981,25,6
4,12,2,3
170,164,57,52
104,111,32,23
2798,1090,1057,972
4091,1723,2259,1548
1074,466,504,399
684,537,325,216
3587,2061,874,842
925,453,513,444
340,660,236,132
1768,1946,1106,619
27728,14672,5661,4874
12,7,1,8
5731,3572,1980,1466
249,128,35,103
2445,1422,2118,926
22,231,82,16
214,2789,374,114
1755,1476,877,669
14,69,3,0
3167,5906,694,663
186,761,48,46
765,3757,311,263
104,185,195,51
1547,972,1019,663
772,1877,620,348
945,5079,246,472
17,16,9,6
2235,2368,1379,877
40,10,3,8
10359,8023,2485,3767
2557,2458,323,540
76,194,91,45
792,385,171,185
3609,1847,1930,1295
800,645,329,251
192,755,47,47
11864,12522,4300,3780
72,650,19,13
3158,1107,1297,2592
46,8,17,32
2428,2328,2208,889
15,9,6,4
48,151,6,20
46,226,9,9
2520,2567,1053,741
56,57,26,31
8815,6762,1672,2574
33,65,2,23
66,4,9,11
40,77,7,12
18450,20999,7387,5953
92,41,82,35
28,25,7,16
238,186,80,73
527,487,164,254
305,258,118,107
41,22,8,14
13007,9646,4379,4125
6886,17437,4541,2281
31,201,3,34
9867,9954,3167,2677
51,60,10,16
445,861,212,149
308,154,571,119
73000,84667,18877,20980
71,95,10,32
36,35,11,11
12890,15560,7152,5503
200,407,203,87
428,496,187,149
13,101,4,4
1605,995,658,578
4,137,0,1
3589,4458,1294,1092
395,338,34,74
3895,2770,2502,1804
42,69,21,16
57,10,77,33
1322,84,747,568
7,1,17,8
31,64,11,9
57,11,51,42
26,51,15,16
1836,2482,1165,685
19,14,6,5
27,27,20,11
7753,4310,2273,2579
831,1209,260,292
55,1039,4,3
111,2193,15,20
2,31,8,2
2,66,0,0
354,540,196,178
1,74,0,0
6,40,7,5
938,16785,731,609
5982,2886,3633,3205
4151,2569,2719,1553
2909,5743,301,1293
3448,4234,1455,1242
17338,5626,9847,3956
7519,239,9294,3798
15,1,7,6
1862,73,931,982
24680,7500,4444,5916
23,9,3,4
2196,1334,182,816
3555,2146,1095,1503
1016,938,352,382
2374,524,746,817
406,56,25,59
69,6,3,6
182,78,32,68
2226,1901,1155,904
760,286,386,230
21249,8246,6293,7144
766,392,409,172
505,642,203,125
18,32,2,6
1530,3309,664,451
3631,3559,1536,1189
1179,1307,658,484
1279,8814,1940,637
10,26,4,4
320,369,131,103
3365,2293,1182,1075
329,343,226,151
71,164,8,14
57,3984,26,5
65,2259,25,11
10,20,4,3
845,1602,467,242
1080,1447,579,361
233,771,116,98
1946,1704,1199,742
11,9,13,4
74602,64598,18451,21840
12680,18212,5400,4543
1674,781,292,514
8923,5441,2912,3084
75,1427,61,24
1075,1377,626,451
2703,2730,1115,943
917,1611,610,439
3118,3463,1081,1202
175,133,112,70
19,14,16,12
718,440,355,270
17,52,10,6
20,37,4,1
28,2,20,8
1313,952,853,506
3527,3636,1590,1261
192,171,135,102
6034,6773,4886,2298
87,16,14,18
358,396,167,144
30,226,27,16
3588,4548,1895,1277
4177,2759,1911,1764
554,505,268,168
1260,1481,134,725
15,14,4,6
2835,5592,841,899
6792,2856,1461,2677
6458,2078,241,1601
2254,2189,757,673
7318,5219,2860,2594
6501,16358,3202,2915
267,10087,6,33
2,36,9,1
28,296,2194,28
14,1000,16,3
365,267,146,163
160,12,1,24
1616,2778,225,476
3219,2646,1349,1006
3430,4698,888,944
5458,7265,1881,1751
45,20,8,8
6030,643,2340,2185
103,142,81,42
17706,634,4911,4856
6979,2833,1431,2329
2357,2204,757,848
2980,813,1704,1349
2576,2426,1132,977
63,49,76,34
64,53,7,14
8502,3126,1320,2939
86,96,34,43
1487,796,78,327
1320,1975,1221,523
1520,1243,513,509
528,710,191,166
9388,12458,3100,3604
4715,3428,3937,2021
70,3,61,19
394,285,1005,297
1369,1130,1855,531
1586,1122,483,471
9,10,1,4
4808,3081,1723,1670
5730,4209,2421,1943
440,980,179,142
4317,4136,2347,1720
12727,11096,4118,4379
4,24,0,0
1974,3231,745,659
4547,3345,2195,1621
4742,427,447,2866
354,348,110,111
365,8,31,89
13535,390,1525,2848
19,4,17,6
7718,3662,4927,3045
3382,2147,891,936
2303,200,1367,829
15,4,17,8
4109,35,133,950
10,20,2,2
313,3310,29,63
6,245,1,1
12,58,1,4
14916,18650,4702,4874
1480,1710,671,500
1978,2262,1050,745
1360,775,315,495
397,2235,312,154
1663,3165,879,666
43,53,12,8
302,14,242,121
8285,598,377,1962
2714,314,70,259
369,1201,74,89
11432,18390,3729,3759
332,226,127,188
4621,6769,2424,1321
5872,556,2618,2462
6129,5589,1214,1476
1791,1440,481,486
2653,2893,2327,933
3,17,0,0
100,123,24,21
783,2972,543,388
569,536,971,303
2501,2742,2365,1111
1952,1358,702,712
180,134,56,51
67,7398,4,11
38,132,9,17
72,558,108,28
4040,3064,2105,2083
1030,749,1033,700
11746,10971,2913,3230
10877,858,6788,5475
204,5,19,82
131,156,42,39
1359,1261,939,722
765,1135,365,331
18979,21215,8197,7604
12129,12394,5097,5218
10,43,5,6
198,2506,293,83
20,204,8,4
4719,28090,2091,2662
182,8991,23,25
22,8,7,5
36360,15882,22839,37474
15,5,1,0
44,24,99,13
65814,29498,508,7335
1583,4672,26,77
400,436,56,68
135,232,17,25
7112,5165,2471,2478
2001,949,422,612
6961,4444,3961,2874
1614,1330,690,541
1568,965,580,463
26,22,9,4
14600,8892,3705,4339
733,886,175,292
60,122,64,36
5015,13636,462,1604
1234,714,178,259
18,12,3,1
3968,2318,1654,1447
8,5,5,4
19876,2269,8272,7722
5783,4355,2272,2973
1418,1321,625,591
428,5781,126,325
92,387,102,55
4409,6759,1918,1561
1070,2911,868,376
22964,85888,10384,14972
561,6936,413,204
2,41,4,1
5450,2572,3007,2301
132,67,62,52
1391,25768,2240,767
1745,1896,862,654
1131,887,133,833
105,249,7,16
4613,8386,732,553
12,26,1,0
8293,10813,2317,2196
5,10,11,6
405,432,213,176
73,788,40,41
2607,4261,1084,1147
23,12,12,17
98,134,31,42
1,17,2,1
17,88,26,16
13020,4370,20113,5924
107,106,59,49
2963,1914,1147,950
3680,3849,1214,1140
193,2247,109,105
408,210,81,111
3566,2968,1607,1321
13,18,7,5
570,701,412,227
1290,2141,1278,519
1601,1300,1058,548
1357,5148,2347,673
12,46,14,9
1,301,5,4
138,36,19,21
4724,1152,1105,2173
3932,4481,562,1387
5077,5254,1801,1709
1853,1669,851,663
15004,15013,5089,4959
120,88,9,45
501,16304,68,99
26964,27290,4086,7349
1145,908,425,347
755,596,579,365
4258,4618,1559,1230
769,731,371,225
752,22545,80,116
9816,5605,1820,2352
6550,9876,531,1792
294,437,134,120
151,4876,75,67
243,3211,64,59
7,62,0,1
10185,9330,2647,3002
168,47,7,29
10121,7834,2979,3050
85,14,17,13
11615,76547,6816,3723
9932,72585,4921,2907
20393,22696,6655,5801
8,126,17,6
390,728,180,104
7969,208,224,1203
5,11,5,2
26475,4346,55792,16063
1,21,4,2
42853,13915,9805,17007
1532,1520,1070,606
4033,4509,1173,1249
191,1569,14,40
4725,7293,3408,1538
6,60,2,1
1553,1847,984,717
11933,3693,5566,3010
7470,4423,2643,2086
9700,6381,2706,3022
11238,14924,5434,4205
16,9,31,13
7,88,10,5
12,50,23,9
510,4268,800,172
8561,25657,3916,2490
1301,2165,1501,496
4336,6739,3310,1461
297,4894,459,124
42,50,5,9
1072,2598,422,467
369,948,99,101
362,120,81,114
782,262,33,207
28,94,10,10
1,20,0,0
13,244,17,11
1204,1111,435,289
25,40,42,16
5232,15739,7104,3280
98,113,163,96
19,194,12,7
1166,1011,593,443
1729,3479,838,590
2136,4583,947,853
6,14,0,0
11,4,3,2
11507,9245,3232,3099
30,14,8,3
481,459,246,198
12363,9101,4875,5646
131,98,38,52
393,511,330,194
412,422,493,199
469,696,305,148
3,35,0,0
8178,7320,7203,3271
4,11,2,0
158,11,2,17
12547,13330,2687,3357
489,276,307,248
251,283,23,61
86,60,7,30
476,846,150,215
560,519,282,206
78,41,4,26
37646,38689,11829,11270
12,25,14,7
496,495,207,161
1501,2581,1648,626
0,13,2,0
93,2,101,17
431,739,57,139
584,643,290,210
1481,2530,550,459
1397,1087,1076,579
181,329,93,105
94,71,55,32
204,1250,169,53
850,4505,683,240
15,66,9,5
71,46,98,24
4213,3086,898,1349
592,254,490,292
2450,1785,1195,850
877,1096,471,320
10518,384,2875,2861
2564,1003,131,573
8732,5342,4055,2877
2671,2221,995,824
56,705,5,10
3693,2857,1368,1092
1710,1177,668,620
50,9,20,22
10609,4338,1586,2200
17,5,6,6
43,311,23,33
2345,1756,472,610
1596,1817,851,668
7,25,1,2
191,599,30,44
17,20,10,6
1581,1972,514,539
6571,5563,2329,1892
58,15,14,6
4,0,20,4
2,18,0,0
32,557,4,4
3613,2650,1414,849
2024,2092,983,726
2940,3217,1378,912
766,540,702,357
22,23,1,7
7925,13206,1693,2513
82,768,49,33
65,327,54,31
42,222,47,15
24,191,134,39
1290,1407,372,380
1075,1195,109,283
12984,11996,1409,2853
1444,1137,577,465
55,11,6,15
4697,802,464,1321
82,8,9,48
1628,267,180,500
490,207,607,190
8521,7076,2753,2324
423,571,232,160
19,18,11,11
13,13,7,6
96,34,316,73
3499,4953,2045,1208
38,137,57,27
7,70,21,9
663,1010,380,252
11,16,4,6
6019,6279,3223,2085
1960,10018,538,285
2487,1445,1542,1034
1065,1195,788,615
612,903,529,286
1453,911,708,519
21,12,6,6
1411,1735,785,491
845,784,800,417
1610,1433,1043,712
129,137,132,53
3738,179,4706,2006
29,27,17,8
482,511,446,256
13,14,7,1
14470,9053,6561,5026
90,67,49,18
891,1055,441,306
214,462,178,65
7306,4741,3386,2544
21324,21376,7585,7225
2519,2946,1775,1007
6676,6051,4123,2664
3649,1524,1071,1148
30,165,9,4
63,226,24,23
6354,2500,2476,1692
3728,2724,1029,1082
781,2267,1128,384
6209,16289,8975,2827
75,37,212,52
20,13,46,13
8,49,4,1
48,37,14,12
3,14,4,1
173,935,148,76
363,226,33,69
68,12,49,43
528,239,49,149
353,192,50,70
15,27,4,8
111,41,12,25
239,91,22,46
163,152,34,36
1099,210,446,406
794,346,26,144
63,47,8,24
3179,4058,2013,1257
311,142,53,65
3619,1646,342,707
87,330,25,28
4,128,0,0
586,1925,212,178
497,494,205,183
122,184,26,29
1840,2393,511,680
1865,1585,1026,769
39,8,0,13
6525,7158,3848,2614
155,10,56,39
34,4,11,14
4445,1738,1240,1453
121,43,15,23
9339,6536,7752,5284
29,40,3,4
1311,817,564,528
41359,53250,11929,12015
114,70,38,46
83,519,45,27
908,683,568,326
434,584,222,155
1500,2872,825,667
987,1056,536,308
14879,14567,2772,3482
8139,7898,2004,2473
1048,671,246,576
692,337,702,262
19,40,3,5
3540,4378,439,869
5,81,11,3
2981,5443,1359,1166
991,568,343,414
7943,6708,2306,2728
1063,1461,558,374
5866,6600,2299,2385
19,10,3,4
384,608,267,124
11,15,1,2
4101,3045,1001,1254
12162,5857,1562,4342
1876,1861,628,669
2519,2270,818,636
23143,19453,6943,6867
21,11,4,5
13,42,4,0
11,3,15,11
48,17,2,31
2592,4050,820,818
2687,1593,1086,850
562,473,196,205
2064,5788,1439,1027
3935,6791,1351,1027
13353,14324,4025,7089
7717,15070,3135,2801
882,36,2064,560
184,68,85,66
982,183,200,385
377,840,39,156
2284,2181,1025,866
1110,1388,273,301
11607,9316,3016,3280
1506,1421,657,560
6958,199,305,1992
29,5,53,11
906,689,2166,736
2,24,7,0
2,14,0,2
3490,2013,763,1038
5070,902,883,2199
168,3123,60,43
4809,4040,1866,1965
3498,3717,1797,1402
1779,965,1028,600
12361,14313,4424,3854
1028,422,330,389
5323,1788,318,1419
1691,2159,433,518
235,300,73,60
12,17,12,5
1526,1163,985,544
171,133,67,48
1132,79,679,382
4402,4580,1238,1504
15,483,6,6
935,1265,600,339
354,2669,164,177
2042,29410,2326,1273
3161,4046,1114,1035
634,40,211,183
1262,1273,578,529
2295,2182,953,860
57,1165,7,19
8726,4745,1649,3758
7,8,5,6
273,285,140,138
39,207,19,22
16,39,8,4
524,130,158,169
59025,28669,72336,51568
77,27,65,52
250,344,134,92
450,515,180,153
2345,1855,550,635
959,2265,182,198
4148,3979,967,1285
33632,29745,3823,6276
308,1135,97,100
52,108,9,5
3735,2621,658,806
85,851,43,49
1186,1744,805,404
669,697,250,318
34,47,15,9
