11,82,430,291,116
2,3,46,40,13
425,1028,9105,6660,2555
27,48,274,229,16
472,542,10920,9440,1571
11802,11139,4769,4644,11034
29,34,1,1,22
2134,4746,4660,3336,8600
8,40,16,14,107
11,11,27,35,52
1229,2324,1905,1491,4460
6317,5127,19466,14218,13219
7760,4422,6029,3783,13695
234,395,360,304,550
5772,3361,2669,2939,9736
545,401,961,849,814
468,692,1436,962,1346
18,6,519,333,17
167,236,358,210,410
287,728,387,368,1388
92,177,434,296,349
979,1153,1656,1029,2065
2,10,25,17,4
565,888,1877,1560,1306
28,11,163,120,36
5,9,16,8,11
374,659,928,740,1202
563,1050,1091,853,1838
376,744,2472,2689,1315
27696,21903,44667,34900,53365
8140,5100,11681,10846,16283
3486,3847,11993,9926,10349
902,1500,4602,2687,2273
1588,2391,3333,2326,5019
1076,353,564,588,1214
386,285,704,438,647
467,57,3914,2531,256
60,201,635,377,275
46,14,35,36,38
4,4,41,23,8
82,43,282,186,117
250,300,473,292,502
532,655,1002,778,1356
198,701,2381,2898,1400
206,381,371,452,684
71,53,577,329,96
100,683,802,727,870
8,16,16,17,35
8,8,5,3,20
27,36,3,4,59
8010,8983,19951,14591,23534
11255,8942,15682,9037,12854
299,417,876,705,790
253,446,709,728,1078
503,716,1823,1746,1735
13,10,5,4,12
971,849,634,382,1435
559,1304,1714,957,1752
38,29,96,72,111
2147,2548,4640,4230,6025
648,1549,1498,1086,3049
2656,2679,8898,7925,7694
93,191,499,355,321
179,238,1244,1180,639
6,6,40,53,23
1099,1235,3829,3163,3046
0,2,39,71,0
1509,1239,12705,17406,2024
27,33,21,21,74
1296,1407,2243,1826,3409
4442,4687,30546,20775,14008
7,8,12,7,9
2101,2314,5035,4281,5175
74,144,359,302,310
1239,847,2968,2954,2965
16,11,81,103,29
277,302,1133,811,751
128,111,235,165,214
27,59,61,80,107
1836,2606,3252,2814,4374
686,737,735,769,1829
661,849,3412,2955,2169
2828,1315,3267,3322,4625
8,28,20,9,21
8,4,10,10,26
723,329,1064,1263,1141
94,69,2459,1433,346
1,0,16,12,4
5442,3698,4932,4695,9339
61,60,87,76,86
21,10,16,26,30
1260,2576,5116,3945,5201
24486,27636,42750,34218,62102
47,38,112,65,66
15,9,4,12,6
90,108,597,517,599
18,41,199,128,30
752,886,1674,1476,1962
5,4,10,10,15
1645,398,618,671,868
2328,2453,3905,2641,4511
108,342,488,520,521
27,28,117,92,73
418,345,2083,2475,1324
2858,1427,4702,5957,3872
363,560,1541,1909,1380
29,29,61,54,51
3,0,20,15,1
963,1025,2602,2263,2502
1077,1295,2002,1614,2717
7245,2034,10065,8958,6692
700,123,226,174,268
1135,1413,2030,1391,2677
1429,651,5148,3918,2128
4392,3838,12417,7930,8618
31,6,12,3,13
900,1492,4103,2981,2974
630,213,15,17,723
482,267,1010,861,626
45,64,680,552,117
5,3,184,206,9
1843,2470,5869,5294,5195
3307,4295,7487,7688,1995
10,10,26,7,9
54,27,2101,1402,100
202,251,691,537,593
0,0,42,30,2
407,823,3835,3621,2125
1,0,46,42,1
757,808,2083,2048,1648
441,521,925,594,778
49,45,26083,21655,119
356596,72314,261496,318361,302090
1481,116,238,149,486
98,9,9,15,52
0,0,26,10,0
570,287,9509,15233,1088
16,9,263,242,50
4978,6817,12435,11568,16634
5096,6560,10794,8273,13595
285,366,1197,984,823
7521,5617,5858,4933,14632
1,1,18,18,2
6,3,27,39,20
1727,1862,3257,3510,4315
12,9,35,63,19
1540,2295,5038,3482,6101
777,1281,2917,2516,3076
10,14,215,311,85
1075,1013,4501,4176,3201
479,534,776,731,1084
649,1066,1500,1345,2391
163,389,341,295,795
1273,1416,1983,1566,3232
19,42,286,284,54
1,0,153,43,1
33,12,4942,3058,27
3,10,6291,4704,27
11,10,7,12,20
77,78,198,159,200
43,58,68,129,144
1802,1871,1415,1535,3611
2959,3917,2717,2413,7192
658,977,698,571,1737
417,694,1001,975,1182
2207,1783,2246,2451,4219
718,725,501,448,1204
174,368,589,588,642
869,1538,2227,1846,3357
7894,11155,15675,15669,29808
7,6,9,6,16
2966,3496,3411,2518,6919
84,73,114,74,171
1198,4312,1870,1801,6762
4,51,233,320,133
53,520,2947,3020,803
828,1510,1608,1621,3066
3,3,69,90,26
1333,1504,5606,4769,4183
94,82,447,479,182
470,623,4433,3671,1279
31,199,200,131,298
1039,1830,1340,1010,2793
570,941,1886,1750,1304
712,277,6428,6495,745
8,13,20,26,19
